action,id,name,slug,image_filename,image_size,reason,new_slug
KEEP,12230,MN - Support Our Troops Motorcycle,mn-support-our-troops-motorcycle-v1,mn-support-our-troops-motorcycle.png,104380,new image larger (104380 vs 20140 bytes),mn-support-our-troops-motorcycle
DEACTIVATE,4037,MN-Support our Troops-Motorcycle,mn-support-our-troops-motorcycle,mn-support-our-troops-motorcycle.jpg,20140,new image larger (104380 vs 20140 bytes),
KEEP,12271,MN - Veteran Afghanistan,mn-veteran-afghanistan-v1,mn-veteran-afghanistan.png,130742,new image larger (130742 vs 22036 bytes),mn-veteran-afghanistan
DEACTIVATE,4038,MN-Veteran-Afghanistan,mn-veteran-afghanistan,mn-veteran-afghanistan.jpg,22036,new image larger (130742 vs 22036 bytes),
KEEP,12270,MN - Veteran Afghanistan Motorcycle,mn-veteran-afghanistan-motorcycle-v1,mn-veteran-afghanistan-motorcycle.png,99233,new image larger (99233 vs 30883 bytes),mn-veteran-afghanistan-motorcycle
DEACTIVATE,4039,MN-Veteran-Afghanistan-Motorcycle,mn-veteran-afghanistan-motorcycle,mn-veteran-afghanistan-motorcycle.jpg,30883,new image larger (99233 vs 30883 bytes),
KEEP,12273,MN - Veteran Armed Forces Expeditionary Service Medal,mn-veteran-armed-forces-expeditionary-service-medal-v1,mn-veteran-armed-forces-expeditionary-service-medal.png,140739,new image larger (140739 vs 22366 bytes),mn-veteran-armed-forces-expeditionary-service-medal
DEACTIVATE,4041,MN-Veteran-Armed Forces Expeditionary Service Medal,mn-veteran-armed-forces-expeditionary-service-medal,mn-veteran-armed-forces-expeditionary-service-medal.jpg,22366,new image larger (140739 vs 22366 bytes),
KEEP,12274,MN - Veteran Bronze Star,mn-veteran-bronze-star-v1,mn-veteran-bronze-star.png,127739,new image larger (127739 vs 23855 bytes),mn-veteran-bronze-star
DEACTIVATE,4042,MN-Veteran-Bronze Star,mn-veteran-bronze-star,mn-veteran-bronze-star.jpg,23855,new image larger (127739 vs 23855 bytes),
KEEP,12276,MN - Veteran Combat Wounded Purple Heart Motorcycle,mn-veteran-combat-wounded-purple-heart-motorcycle-v1,mn-veteran-combat-wounded-purple-heart-motorcycle.png,101393,new image larger (101393 vs 42316 bytes),mn-veteran-combat-wounded-purple-heart-motorcycle
DEACTIVATE,4044,MN-Veteran-Combat Wounded-Purple Heart-Motorcycle,mn-veteran-combat-wounded-purple-heart-motorcycle,mn-veteran-combat-wounded-purple-heart-motorcycle.jpg,42316,new image larger (101393 vs 42316 bytes),
KEEP,12280,MN - Veteran Ex POW,mn-veteran-ex-pow-v1,mn-veteran-ex-pow.png,136180,new image larger (136180 vs 23607 bytes),mn-veteran-ex-pow
DEACTIVATE,4045,MN-Veteran-Ex-POW,mn-veteran-ex-pow,mn-veteran-ex-pow.jpg,23607,new image larger (136180 vs 23607 bytes),
KEEP,12281,MN - Veteran Global War On Terrorism Expeditionary,mn-veteran-global-war-on-terrorism-expeditionary-v1,mn-veteran-global-war-on-terrorism-expeditionary.png,135395,new image larger (135395 vs 22294 bytes),mn-veteran-global-war-on-terrorism-expeditionary
